,real_target,QS-Prediction,AS-Prediction
2591,cyanosis : causes,cyanosis causes a disproportionate number of people .,central cyanosis . hepatitis c : causes . physiologic syndrome : symptoms
2592,febrile neutropenia : general,febrile neutropenia : a swarm .,febrile neutropenia : physiology : symptoms : causes . physiologic syndrome : treatments
2593,tarsal tunnel syndrome : causes,tarsal tunnel syndrome causes a coma . ,"tarsal tunnel syndrome . symptoms include numbness, nephropathy . bronchitis : causes"
2594,febrile neutrophilic dermatosis : treatments,febrile neutrophilic dermatosis : treatments .,systemic corticosteroids . helvetia et al. coma : treatments - treatments : treatment
2595,birdshot chorioretinopathy : treatments,birdshot chorioretinopathy : treatments . ,birdshot chorioretinopathy : treatments physiology - treatments - physiologies - diagnosis : treatment
2596,chiari malformation : physiology,chiari malformation : physiology . et al,chiari type i malformations : physiology : causes . symbiosis : symptoms
2597,glanzmann's thrombasthenia : general,[{'summary_text': "glanzmann's thrombasthenia ."}],[{'summary_text': "glanzmann's thrombasthenia . it is an abnormality of the thrombocytes|platelets ."}]
2598,polydactyly : symptoms,polydactyly . symptoms : symptoms . .,radial polydactyly : physiology : causes . physiologic limb deformity : symptoms
2599,chorioamnionitis : general,chorioamnionitis is the most common disease,chorioamnionitis : physiology : symptoms : causes . socioeconomic factors : treatments
2600,morphea : causes,morphea is the cause of a disorder . .,morphea . autoimmune disease : physiology : causes . causes : cause . cause ? causes
2601,carbon monoxide poisoning : treatments,carbon monoxide poisoning : treatments . u.s,carbon monoxide poisoning . hexadecimal pulmonary resuscitation : treatments : treatment : therapies
2602,geographic tongue : causes,geographic tongue causes a disproportionate number of people in the u.,geographic tongue : causes physiology - causes - . causes : physiologies : symptoms . physiologic diagnosis
2603,reward : general,what is reward . click here for all the latest latest news .,reward may refer to a resurgence in the u.s. . san francisco may be referred to as a reward .
2604,lysosomal storage disease : general,lysosomal storage disease : a symptom ,lysosomal storage diseases : physiology - physiologie : causes physiologic : symptoms : treatments
2605,renal artery stenosis : physiology,renal artery stenosis : physiology .,renal artery stenosis . fibrosis tubular filtration rate : physiology . steroid pulmonary disease : causes
2606,hantavirus hemorrhagic fever with renal syndrome : prevention,hantavirus hemorrhagic fever with renal syndrome,rodent control . prevention : prevention - prevention – prevention . san francisco . samaritana : treatments
2607,tension headache : treatments,tension headache treatments : treatments . click here for more information .,tension headache : treatments - treatments : symptoms : diagnosis : treatment . stress reduction - treatment : prevention
2608,vulvitis : diagnosis,vulvitis is a common disorder in a u.,"vulvitis . diagnosis starts with examining the medical history and pelvic examination . pap smears, urine tests, blood tests and sexually transmitted diseases ."
2609,hepatocellular adenoma : symptoms,hepatocellular adenoma : symptoms .,hepatic adenoma : physiology : symptoms : causes . symbiosis : treatments
2610,transmissible spongiform encephalopathy : diagnosis,transmissible spongiform encephalopathy : diagnosis,prpsup>sc/sup syndrome : diagnosis physiology : treatments physiologique : diagnostics
2611,usher syndrome : diagnosis,usher syndrome is the most common disorder in the u.s.,usher syndrome : diagnose physiology : treatments physiologique : diagnostic physiologies . physiologic reversal : diagnosis
2612,sertoli cell tumour : general,sertoli cell tumour : a symptom . .,sertoli cell tumour . sex cord-gonadal stromal tumor . general : general . general adolescence
2613,acne : physiology,acne a physiology : physiotherapy . .,acne vulgaris : physiology - physiologie – Physiology : causes physiologique : mechanisms physiologic :
2614,neurosyphilis : diagnosis,neurosyphilis is a rare disease . it can cause,neurosyphilis : diagnosis physiology : treatments : diagnostic physiologies . physiologic syndrome : diagnoses
2615,acute radiation syndrome : causes,acute radiation syndrome is a chronic disease . a sclerosis,erythema : physiology : causes physiologic : treatments : prevention : interventions : diagnosis : symptoms : diagnostic
2616,nervous system disease : causes,nervous system disease is a common disease . : causes .,glioblastoma : physiology : causes physiological : treatments . physiologic syndrome : symptoms
2617,pseudorabies : symptoms,pseudorabies symptoms : symptoms of a coma .,genital infection in pigs : physiology : causes . swine disease : symptoms
2618,subacute combined degeneration of spinal cord : diagnosis,subacute combined degeneration of spinal cord . diagnosis of suba,megaloblastic anemia : physiology : diagnosis : treatments : diagnostics : interventions : symptoms : causes
2619,anorexia nervosa : physiology,anorexia nervosa : physiology ,anorexic disorder : physiology : causes physiologic : treatments : symptoms : mechanisms of disease : general
2620,polycystic kidney disease : symptoms,polycystic kidney disease : symptoms of . .,"high blood pressure, headaches, abdominal pain . symptoms include hematuria|blood in the urine . urination : symptoms"
2621,amelogenesis imperfecta : diagnosis,amelogenesis imperfecta : diagnosis . hepat,enamel calcification : diagnose physiology : diagnosis physiologies . physiologic syndrome : symptoms
2622,adrenocortical adenoma : causes,adrenocortical adenoma :,adrenocortical adenoma . he says physiology of adrenal cortex : physiologie
2623,friedreich's ataxia : general,[{'summary_text': "friedreich's ataxia is the most popular in the world"}],"[{'summary_text': ""friedreich's ataxia . causes difficulty walking, impaired speech and hypertrophic cardiomyopathy . symptoms include scoliosis and diabetes .""}]"
2624,meningococcal disease : symptoms,meningococcal disease : symptoms of . .,"[{'summary_text': ""meningococcal meningitis . symptoms include high fever, nuchal rigidity, kernig's sign . bronchitis : symptoms""}]"
2625,venous thrombosis : physiology,venous thrombosis : physiology .,venous thrombosis : physiology : causes : mechanisms physiological : treatments . experts: mechanisms of disease
2626,neonatal alloimmune thrombocytopenia : treatments,neonatal alloimmune thrombocytopenia ,antenatal management : treatments physiology : prevention : interventions : causes . traumatism : symptoms
2627,common bile duct stone : causes,common bile duct stone . a symptom .,stones can pass through common bile duct into the duodenum . they may be too large to pass through the duct . a diverticulum : causes
2628,mycosis : causes,mycosis causes a coma . click here for,fungal infections : prevention : treatments : interventions : treatment  interventions - treatment of antibiotics - prevention prevention
2629,conduction aphasia : treatments,conduction aphasia : treatments for the disease ,conduction aphasia : treatments physiology . apneasis syndrome : treatment
2630,pasteurellaceae : general,pasteurellaceae : a list of the most common ,pasteurellaceae . genus : physiology : general physiologies - general . dermatology : treatments
2631,lipid metabolism : general,lipid metabolism is the most important factor in a healthy lifestyle .,lipid metabolism : physiology - biologism – physiologie . physiologic fatty acids : general
2632,cytokine release syndrome : prevention,cytokine release syndrome is the prevention of a disease .,severe crs caused by some drugs . in vitro assays : physiology : treatments - treatments : prevention
2633,thumb sucking : prevention,thumb sucking : prevention . click here for more information .,[{'summary_text': "sydney's eponymous sexism : psg . hepatitis c :"}]
2634,hepatic veno-occlusive disease : diagnosis,hepatic veno-occlusive disease : diagnosis,doppler ultrasound of the liver . symptoms include increased phasicity of portal veins . reversal of portal flow : diagnosis
2635,ascariasis : symptoms,ascariasis symptoms : symptoms of a coma,helminthiasis|worm infections : physiology : symptoms : causes . symbiosis : treatments
2636,digeorge syndrome : diagnosis,digeorge syndrome is a rare disease characterized by a,digeorge syndrome . diagnosis of atypical deletion in chromosome 22q . he says diagnosis a symptom : diagnosis
2637,transient ischemic attack : causes,transient ischemic attack : causes of a . ,tia and stroke : physiology : causes physiological : treatments . socio-economic socioeconomic factors
2638,esophagitis : general,esophagitis is the most common disease in the world ,esophagitis . hepatitis c : causes . adolescent reflux disease : symptoms
2639,kallmann syndrome : general,kallmann syndrome : a symptom . .,"kallmann syndrome . he says it prevents puberty from starting or completing . symptoms include anosmia, lack of sense of smell ."
2640,peritonsillar abscess : general,peritonsillar abscess : the general .,peritonsillar abscess . hepatitis : physiology : symptoms : causes . symptoms
2641,hypertensive encephalopathy : general,hypertensive encephalopathy : symptomatic .,"hypertensive encephalopathy . symptoms include headache, vomiting, trouble with balance . onset of eclampsia : general"
2642,macroglossia : diagnosis,macroglossia : diagnosis . u.s,beckwith–wiedemann syndrome . macroglossia is a symptom of obstructive sleep apnea
2643,macular degeneration : general,macular degeneration : a common symptom . .,macular degeneration (amd) : general . general general general adolescent vision loss : physiology
2644,gait abnormality : general,gait abnormality is the most common disorder in the u.s,gait abnormality . general physiology : general . physiologic et al . symbiosis
2645,benign prostatic hyperplasia : causes,benign prostatic hyperplasia : causes of . .,prostatic hyperplasia : physiology : causes physiological : treatments : symptoms : diagnosis : general
2646,pigmentation disorder : general,pigmentation disorder : a common symptom . it can cause,pigmentation disorder . causes of apoptosis : physiology : causes . physiologies : symptoms
2647,cognitive remediation therapy : general,cognitive remediation therapy : a systolic ,cognitive remediation aims to improve neurocognitive abilities . it focuses on cognitive function : physiology - physiologie
2648,myotonia congenita : causes,myotonia congenita : causes of disease .,[{'summary_text': "thomsen's myotonia : physiology : causes . sydney syndrome : symptoms"}]
2649,tetralogy of fallot : treatments,fallot tetralogy of the u.s.,ventricular outflow stenosis . he says tet spells are a treatment for pulmonary shunt .
2650,gas gangrene : treatments,[{'summary_text': "gas gangrene : treatments . uk's "}],obligately anaerobic clostridia . hepatic gangrene : treatments - treatments
2651,peanut allergy : prevention,peanut allergy prevention : prevention . click here for more information .,peanut allergy : prevention - prevention : treatments : interventions - interventions . parents : treatment physiology : diagnosis
2652,hereditary spherocytosis : treatments,hereditary spherocytosis : treatments ,hereditary spherocytosis . symptoms include anemia and hyperbilirubinemia . splenectomy : treatments
2653,vocal cord dysfunction : treatments,vocal cord dysfunction is a common condition . there are no cures,vocal cord dysphoria : treatments physiology - treatments - physiotherapy - interventions . vcd symptoms
2654,rhinosporidiosis : treatments,rhinosporidiosis is a rare disease . it can be,surgical excision - wide area electro-coagulation of the lesion base - treatment with a year-long course of dapsone .
2655,metabolic syndrome : symptoms,metabolic syndrome symptoms : symptoms . : bowel syndrome :,metabolic syndrome : physiology : signs . sex disease . symptoms : symptoms physiologic : causes
2656,fasciolosis : physiology,fasciolosis : physiology . et al,f. hepatica : physiology : causes . experts: mechanisms of infection in host : mechanisms
2657,psychomotor agitation : treatments,psychomotor agitation is a treatment for a symptom ,atypical agitation : physiology - treatments : treatments - physiologies : interventions - interventions : prevention
2658,cluster headache : diagnosis,cluster headache symptoms : diagnosis . : if you are ,ch-like head pain : diagnosis physiology : diagnoses . hepatitis c : diagnostic
2659,peptic ulcer disease : symptoms,peptic ulcer disease : symptoms of a . .,gastroesophageal reflux disease . symptoms include abdominal pain . symptomatic recurrence : physiology
2660,embryonal carcinoma : symptoms,embryonal carcinoma is a common condition . it is common to,"metastasising embryonal carcinoma . symptoms include low back pain, dyspnoea, cough, haemoptysis ."
2661,bell's palsy : treatments,[{'summary_text': "bell's palsy treatment : treatments . click here for"}],[{'summary_text': "bell's palsy : treatments physiotherapy . symbiosis syndrome : treatment physiology: treatments"}]
2662,beta-mannosidosis : general,beta-mannosidosis : a general symptom .,beta-mannosidosis . lysosomal oligosaccharide deficiency : physiology
2663,jervell and lange-nielsen syndrome : diagnosis,jervell and lange-nielsen syndrome : diagnosis,ecg holter monitoring cardiac event monitoring hearing tests . tests used may be - genetic testing electrolyte testing .
2664,thiamine deficiency : general,thiamine deficiency : a . .,"thiamine deficiency . symptoms include loss of appetite, vomiting, lactic acidosis . diagnosis : treatments"
2665,helicobacter pylori : symptoms,helicobacter pyloria : symptoms .,[{'summary_text': "''h. pylori'' infection : symptoms : causes . symbiosis : diagnosis"}]
2666,sacroiliitis : causes,sacroiliitis is a chronic disease .,sacroiliitis mri ar1934-5 . hexadecimal sclerosis : symptoms
2667,status epilepticus : diagnosis,status epilepticus : diagnosis of a symptom .,nonconvulsive epilepticus : definition . recurrent seizure : treatments physiology
2668,salmonellosis : general,salmonellosis is the most common disease in the u.s,salmonellosis : physiology : symptoms : causes . socio-economic status : treatments  physiologic syndrome
2669,agranulocytosis : causes,agranulocytosis causes a . .,agranulocytosis : physiology : treatments : interventions : prevention : treatment  socioeconomic factors
2670,toe walking : causes,toe walking is a common cause of injury . a ,unknown idiopathic toe walking : causes . cerebral palsy syndrome : symptoms : treatments treatments
2671,septo-optic dysplasia : causes,septo-optic dysplasia : causes . ,septo-optic dysplasia . causes include a defect of normal embryological development . cause of recurrence : causes
2672,acinar cell carcinoma of the pancreas : symptoms,acinar cell carcinoma of the pancreas : symptoms,the disease is more common in men than in women . symptoms include arthralgia and subcutaneous nodules . the symptoms are often non-specific .
2673,aphthous stomatitis : general,aphthous stomatitis : general,aphthous stomatitis . he says he describes symptoms as symptomatic . ulcer : symptoms
2674,traumatic brain injury : prevention,traumatic brain injury prevention : prevention . click here for more information,tbi : prevention / prevention - prevention : treatments . socioeconomic factors factors : interventions / interventions : treatment
2675,jealousy : general,jealousy : a sexy saga .,jealousy : physiology : causes : symptoms : treatments : general  physiologic syndrome : definitions
2676,lymphocytopenia : diagnosis,lymphocytopenia is the most common symptom . .,lymphocytopenia . diagnosis : diagnosis . physiology of lymphocytic fibromyalgia
2677,postpartum bleeding : symptoms,postpartum bleeding symptoms : symptoms of a coma ,"tachycardia, postural hypotension . symptoms of shock . physiology : symptoms . diagnosis : treatments"
2678,kleine–levin syndrome : treatments,kleine–levin syndrome is a rare disease . it can cause,kleine-levin syndrome : treatments physiology . ephemeral symbiosis : therapies
2679,status epilepticus : general,status epilepticus : systomy .,status epilepticus : general . general : physiology - general ; general - physiologies -general : général . général
2680,toxocariasis : treatments,toxocariasis is a chronic disease . it,visceral toxocariasis in humans . hepatitis b : treatments . treatments : treatment
2681,diastasis symphysis pubis : treatments,diastasis symphysis pubis :,"bed rest, anti inflammatory agents, physiotherapy and a pelvic corset . treatments include abrasion and physiology ."
2682,cellulitis : treatments,cellulitis is a chronic disease . it can cause a,co-existent cellulitis . antibiotics : treatments physiology . treatments : therapies . dermatologists .
2683,familial mediterranean fever : diagnosis,familial mediterranean fever : diagnosis of .,fmf attacks : diagnosis physiology : diagnostic physiologies - diagnosis . socioeconomics: diagnosis
2684,minimal change disease : treatments,minimal change disease : treatments . a randomized controlled trial ,"nephrotic syndrome : treatments physiology - treatments - physiotherapy - treatment . treatments: treatments, treatments, treatment"
2685,periodontal disease : prevention,periodontal disease is a common disease . it is common to,periodontal disease : prevention : treatments : interventions . experts : strategies to cure psoriasis - treatments
2686,tricuspid valve stenosis : diagnosis,tricuspid valve stenosis : diagnosis .,diastolic heart murmur - s1 - can be heard during auscultation . stenotic valve : diagnosis
2687,hypospadias : general,hypospadias : a symbios,hypospadias : physiology : symptoms : causes . socio-economic status of affluent sclerosis : diagnosis
2688,paronychia : diagnosis,paronychia is a rare disease . it can cause,chronic paronychia : physiology : causes . splinter ophthalmology : symptoms
2689,pyruvate dehydrogenase deficiency : diagnosis,pyruvate dehydrogenase deficiency,pyruvate dehydrogenase deficiency . diagnosis can include d-lactic acidosis or gluconeogenesis .
2690,tinnitus : symptoms,tinnitus symptoms : symptoms of a fever ,tinnitus : physiology : symptoms : causes . socioeconomic status : perception - causes
2691,neuromyelitis optica : diagnosis,neuromyelitis optica : diagnosis . - s,[{'summary_text': "devic's disease . diagnosis requires two absolute criteria plus at least two of three supportive criteria . ms at disease onset spinal cord : diagnosis"}]
2692,peroxisomal disorder : general,peroxisomal disorder : a sympathetic ,"peroxisomal disorders : physiology : causes physiologic : symptoms : treatments : diagnosis . sociology, sociology"
2693,scoliosis : causes,scoliosis causes a disproportionate number of people ,adolescent idiopathic scoliosis . he says he explains why he has inherited a spinal column . histopathology
2694,acute monocytic leukemia : diagnosis,acute monocytic leukemia : diagnosis . .,acute monoblastic leukemia : physiology : diagnosis : treatments : diagnostics . socio-economics
2695,adiposis dolorosa : physiology,adiposis dolorosa : physio,this disease . there are currently no known mechanisms for it . the u.s. government is investigating the cause of the illness . a spokesman said there is no evidence that there is a cure .
2696,coarctation of the aorta : treatments,coarctation of the aorta : treatments .,"coarctation repair : symptoms : treatments : causes . experts : physiology, physiologie : diagnosis"
2697,salla disease : general,salla disease is the most common disease in the u.s.,salla disease . symbiosis : general . san francisco-based disease - general
2698,endocrine disease : general,endocrine disease is a common disease . it can affect,endocrine diseases . general general . symbiosis : symptoms . symptoms : general physiology
2699,hookworm infection : diagnosis,hookworm infection is the most common infection in the u.s.,hookworm infection : diagnosis : treatments . experts : diagnose physiology : diagnostics : prevention : interventions : treatment
2700,central nervous system disease : treatments,central nervous system disease is a disease characterized by a s,central nervous system disease . treatments can range from surgery to neuroplasticitytreatment of brain damage . medications can be prescribed to patients .
2701,chronic kidney disease-mineral and bone disorder : general,chronic kidney disease-mineral and bone disorder : a .,chronic kidney disease–mineral and bone disorder . he says ckd-mbd is a systemic disorder of mineral and bone metabolism .
2702,dumping syndrome : diagnosis,dumping syndrome is the diagnosis of a symptom . .,duodenum syndrome . diagnosis of disease : diagnoses : diagnosis : diagnostics . dumping syndrome - diagnosis
2703,conduction aphasia : causes,conduction aphasia : causes of disease .,conduction aphasia : physiology - Physiology : causes physiologic : treatments : symptoms
2704,argininemia : symptoms,arginininemia symptoms : symptoms . u.,arginininemia : physiology : causes . symptoms : symptoms . symbiosis .
2705,lacrimal canaliculi : general,lacrimal canaliculi : a general . .,lacrimal canaliculi : physiology - Physiology : general physiologie - general : général physiologic
2706,optic nerve hypoplasia : symptoms,optic nerve hypoplasia : symptoms of a coma,onh : physiology : diagnosis : treatments . psychiatric dysplasia : symptoms
2707,follicular dendritic cell sarcoma : treatments,follicular dendritic cell sarcoma ,follicular dendritic cell sarcoma . he says chemotherapeutic therapy : physiology
2708,type iv hypersensitivity : general,type iv hypersensitivity : a general symptom .,type iv hypersensitivity : physiology - physiologies : causes . sociology : responses
2709,hypophysitis : general,hypophysitis is a common disorder . it can cause,hypophysitis . symbiosis : general physiology . general sclerosis . global epidemiology
2710,tick-borne encephalitis : symptoms,tick-borne encephalitis symptoms : symptoms . .,"fever, malaise, headache, nausea, vomiting and myalgias . the disease varies from 72–87% of patients ."
2711,absence seizure : diagnosis,absence seizure : diagnosis . u.s. ,absence seizure : diagnostic physiology : diagnosis . physiologic ephemeral syndrome : symptoms
2712,lymphoma : diagnosis,lymphoma is a common disease . it can be diagnosed,non-hodgkin lymphoma . hepatosplenomegaly with liver metastasis .
2713,dehydration : causes,dehydration : causes of a comorbidity ,dehydration : physiology - causes : causes physiologic . physiotherapy – causes – physiological diagnosis
2714,anterior compartment syndrome : diagnosis,anterior compartment syndrome asymptomatic . : 0 .,anterior compartment syndrome : treatments . apneasis : treatment physiology - treatment - physiotherapy
2715,morquio syndrome : treatments,morquio syndrome is a chronic disease . it is thought to,"morquio syndrome . treatment consists of prenatal diagnosis|prenatal identification . currently, there is no treatment for type b ."
2716,ankylosing spondylitis : diagnosis,ankylosing spondylitis : diagnosis . ,axial ankylosing spondylitis . diagnosis based on diagnosis of sacroiliac joint . physiology : diagnosis
2717,hypothermia : symptoms,hypothermia symptoms : symptoms of a coma ,hypothermia : physiology / symptoms : symptoms / treatments : causes . socioeconomic factors factors
2718,closed-head injury : symptoms,closed-head injury : symptoms of . traumatic brain injury ,traumatic brain injury : diagnose & treat physiology : treatments physiologique : symptoms . physiologic syndrome : diagnosis
2719,genu valgum : treatments,genu valgum is a treatment for cancer .,genu valgum . he says physiology - treatments - is a symptom . treatments : treatments
2720,x-linked ichthyosis : treatments,x-linked ichthyosis : treatments ,xli : treatments physiology : treatment . dermatologists et al. coli : therapies
2721,hyperaldosteronism : treatments,hyperaldosteronism is a chronic disease . it,spironolactone . a syringe-like diuretic . it works by acting as an aldosterone antagonist .
2722,keratoconjunctivitis : general,keratoconjunctivitis is the most common disorder,keratoconjunctivitis : physiology : causes . san francisco : symptoms
2723,sarcopenia : physiology,sarcopenia : physiology . .,sarcopenia : physiology : treatments physiologique . physiologic sclerosis : causes
2724,granuloma annulare : diagnosis,granuloma annulare : diagnosis . .,granuloma annulare : types . generalized granularome annulare: physiology : general
2725,stanford–binet intelligence scales : general,stanford–binet intelligence scales reveals a general ,"stanford–binet . tests based on cognitive ability and intelligence . test originated in france, then was revised in the united states ."
2726,food allergy : physiology,food allergy physiology : a symbiotic ,allergic reaction : physiology : causes physiologic : mechanisms physiologique . physiologetic syndrome : symptoms
2727,ochronosis : symptoms,ochronosis symptoms : symptoms of op .,exogenous ochronosis . hepatitis : physiology : diagnosis . diagnosis: diagnosis
2728,lesch–nyhan syndrome : treatments,lesch–nyhan syndrome is a chronic disease . it,lesch–nyhan syndrome : treatments physiology : treatment physiologies - treatments : interventions . socio-economic factors
2729,pelvic inflammatory disease : symptoms,pelvic inflammatory disease . symptoms : symptoms . .,pid symptoms : symptoms . physiologic sclerosis : physiology - symptoms - may be symptomatic
2730,polymicrogyria : general,polymicrogyria : a symptom .,polymicrogyria . causes : physiology . symptoms : treatments  physiologic sclerosis : symptoms
2731,ingrown nail : treatments,ingrown nail treatments : treatments . uk dermatologist .,ingrown toenail : treatments physiology : treatment physiologies - treatments : interventions . sociology – treatments
2732,serum sickness : symptoms,serum sickness symptoms : symptoms of symptoms . a coma,rashes itching joint pain . symptoms can take as long as 14 days after exposure . rash lymphadenopathy : symptoms
2733,hyperpigmentation : causes,hyperpigmentation : causes of a sclerosis .,melasma : physiology : causes physiologic : treatments : symptoms : diagnostic  socio-economics
2734,paraplegia : general,paraplegia is a general general . it is unclear ,paraplegia . ionic greek : physiology . amputation : symptoms : causes
2735,median arcuate ligament syndrome : physiology,median arcuate ligament syndrome : physiology . .,div class : physiology - physiologie . biologism : causes . causes : cause
2736,schistosoma mansoni : general,schistosoma mansoni is the most popular .,[{'summary_text': "schistosoma mansoni . he says it's a waterborne diseases . parasite : physiology"}]
2737,paronychia : treatments,paronychia is a disease characterized by cancer .,acute paronychia : treatments physiology - treatments - physiologies : treatment physiologic : prevention : interventions
2738,mastocytosis : physiology,mastocytosis : physiology . el,mastocytosis : physiology : causes physiologic : mechanisms physiologique . ephemeral mast : symptoms
2739,intermittent claudication : symptoms,intermittent claudication : symptoms of . a .,arterial claudication . symptoms include cyanosis atrophic changes . bronchitis : symptoms
2740,cervical intraepithelial neoplasia : diagnosis,cervical intraepithelial neoplasia :,adenocarcinoma : diagnostic physiology : diagnose . ovarian cancer : diagnosis
2741,disease : treatments,disease is the treatment of a coma . el,medical therapy|therapies or treatments . general : general . doctoral ephemera . physiology : treatments
2742,coup contrecoup injury : physiology,coup contrecoup injury : physiology . scott ,coup injury : physiology : causes physiologic : mechanisms physiologique : treatments : symptoms : diagnosis : general
2743,graft-versus-host disease : physiology,graft-versus-host disease : physiology .,haematopoietic stem cell transplant . gvhd : pathophysiology : physiology
2744,diabetic ketoacidosis : symptoms,diabetic ketoacidosis . symptoms : symptoms .,"diabetic ketoacidosis . symptoms include nausea, vomiting, hypertension . symptomatic dehydration : physiology"
2745,pyruvate dehydrogenase deficiency : treatments,pyruvate dehydrogenase deficiency,pyruvate dehydrogenase complex . cns damage : treatments - treatments : prevention - interventions
2746,hydrothorax : general,hydrothorax is a syringe-like ,hydrothorax : physiology : symptoms : causes . socioeconomic factors : mechanisms physiologic : treatments
2747,hypovolemia : treatments,hypovolemia is a chronic disease . it can cause a,hypovolemic shock : treatments - treatments : interventions . experts: treatments; treatments; treatment; treatments physiology
2748,thyroid disease : treatments,thyroid disease is a common disease . it can affect a person,hypothyroidism : treatments physiology : treatment physiologie - treatments : interventions . experts: treatments
2749,myelofibrosis : causes,myelofibrosis causes a coma .,primary myelofibrosis : physiology : causes : mechanisms physiological . physiologic syndrome : symptoms
2750,common carotid artery : symptoms,common carotid artery symptoms : symptoms . .,carotid stenosis : physiology : diagnosis . systolic blood pressure : symptoms
2751,epidermolysis bullosa simplex : diagnosis,epidermolysis bullosa simplex : diagnosis ,epidermolysis bullosa simplex : physiology : symptoms : diagnosis . diagnosis : treatments : diagnoses
2752,waterhouse–friderichsen syndrome : treatments,waterhouse–friderichsen syndrome : treatments .,fulminant infection from meningococcal bacteria in the bloodstream . benzylpenicillin was once the drug of choice with chloramphenicol .
2753,lymphocytic choriomeningitis : general,lymphocytic choriomeningitis :,lymphocytic choriomeningitis . it is a viral infection . the disease is characterized by inflammatory bowel disease .
2754,smoke inhalation : treatments,smoke inhalation treatments are available in u.s. .,"smoke inhalation : treatment . bronchodilators, suction, endotracheal tube : treatments"
2755,sarcopenia : symptoms,sarcopenia : symptoms of sympathy,"sarcopenia . symptoms include loss of lean muscle mass . signs include edema, hypertension and hypertension ."
2756,varicose veins : symptoms,varicose veins . symptoms : symptoms of .,telangiectasia : physiology : causes . physiologic eczema : symptoms
2757,sézary disease : diagnosis,sézary disease asymptomatic . sy,[{'summary_text': "sézary's disease : physiology : treatments . physiologic syndrome : symptoms : diagnosis"}]
2758,myoepithelioma of the head and neck : physiology,myoepithelioma of the head and neck .,myoepithelial adenoma . hepatitis c : physiology : diagnosis
2759,exotropia : causes,exotropia is a chronic disease . it can cause,"exotropia : physiology : causes . cerebral palsy, down syndrome, hydrocephalus : symptoms"
2760,congenital adrenal hyperplasia : symptoms,congenital adrenal hyperplasia : symptoms . .,cah in infants : physiology . symptoms : symptoms physiologic : causes . sociology : treatments
2761,consumer behaviour : general,consumer behaviour : syst : general . ,consumer behaviour : physiology - general - symbiosis . behavioural behavioural disorder : general
2762,oculopharyngeal muscular dystrophy : treatments,oculopharyngeal muscular dystrophy : treatments,the proximal limb weakness : treatments - treatments – physiology – interventions . interventions : interventions – treatments : treatment – treatment
2763,tracheoesophageal fistula : diagnosis,tracheoesophageal fistula :,esophageal atresia . mri diagnosis : diagnoses . tef : diagnosis
2764,carbamoyl phosphate synthetase i deficiency : treatments,carbamoyl phosphate synthetase ,glycerol phenylbutyrate : physiology . hepatitis c : treatments
2765,gestational hypertension : treatments,gestational hypertension : treatments . click here for more gest,"pre-eclampsia and its life-threatening complications . methyldopa, hydralazine, and labetalol ."
2766,korsakoff syndrome : symptoms,korsakoff syndrome . symptoms are not uncommon . ,alcoholic korsakoff syndrome . symptoms include apathy : physiology . sociology : symptoms
2767,normal pressure hydrocephalus : symptoms,normal pressure hydrocephalus . symptoms : symptoms of .,[{'summary_text': "nph's adams triad . he says symptom resemblance to parkinson's disease . incontinence"}]
2768,acute hemorrhagic conjunctivitis : treatments,acute hemorrhagic conjunctivitis :,corneal microbial superinfection . symptoms include swollen cornea . squirms : treatments . treatments
2769,seborrheic keratosis : diagnosis,seborrheic keratosis : diagnosis ,seborrheic keratosis . diagnosis of lentigo maligna is based on physiology .
2770,fetal resorption : general,fetal resorption is the most common symptom of a,fetal resorption . a fetus . the uterus is disintegrated and assimilate .
2771,erythromelalgia : causes,erythromelalgia : causes of disease .,erythromelalgia : physiology : causes physiological : treatments . experts: causes
2772,stomach cancer : causes,stomach cancer is a major cause of a coma .,helicobacter pylori : physiology : causes physiological . physiologic gastroesophageal reflux disease :
2773,ataxia–telangiectasia : diagnosis,ataxia–telangiectasia : diagnosis .,ataxia–telangiectasia syndrome : diagnosis : diagnostic physiology - diagnosis . diagnostic : treatments for physiologic
2774,congenital hyperinsulinism : diagnosis,congenital hyperinsulinism : diagnosis of . .,congenital hyperinsulinism : diagnostic systomie : diagnosis : treatments  sex disease : diagnose
2775,postpericardiotomy syndrome : treatments,postpericardiotomy syndrome is a chronic disease . ,post-pericardiotomy syndrome : physiology : treatments . pericardia : prevention : interventions
2776,hypertriglyceridemia : general,hypertriglyceridemia : asymptomatic .,hypertriglyceridemia : physiology : causes . physiologic sclerosis : symptoms
2777,thiamine deficiency : general,thiamine deficiency : a . .,"thiamine deficiency . symptoms include loss of appetite, vomiting, lactic acidosis . diagnosis : treatments"
2778,motion sickness : symptoms,motion sickness symptoms : symptoms of a coma . ,"motion sickness . symptoms include nausea, vomiting, cold sweat . symptomatic recurrent : symptoms . diagnosis : treatments"
2779,placental disease : prevention,placental disease is a common disease . it is common to,preeclampsia low calcium intake . reducing oxidative stress : physiology - prevention : prevention
2780,pyloric stenosis : causes,pyloric stenosis : causes .,pyloric stenosis : physiology : causes physiological : symptoms . socioeconomic factors
2781,strongyloidiasis : treatments,strongyloidiasis is a chronic disease . ,strongyloidiasis : treatments - treatment - physiology - treatments : treatment . physiologic sclerosis
